2015/11/29 13:25:34: Break:  连接失败！
2015/11/29 14:01:37: 任务号:39,17; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:01:40: 任务号:39,17; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:1; 深度:1
2015/11/29 14:01:44: 任务号:39,17; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:1; 深度:2
2015/11/29 14:01:50: 任务号:39,17; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:1; 深度:1
2015/11/29 14:01:52: 任务号:39,17; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:12:59: 任务号:82,187; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:01: 任务号:82,187; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:03: 任务号:82,187; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:04: 任务号:82,187; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:05: 任务号:82,187; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:13:07: 任务号:82,187; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:13:12: 任务号:82,187; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:13:14: 任务号:82,187; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:15: 任务号:82,187; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:16: 任务号:82,187; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:13:18: 任务号:82,187; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
