2015/12/4 15:33:26: Break: SendData Fail!
2015/12/4 15:33:46: Break:  连接失败！
2015/12/4 15:34:06: Break:  连接失败！
2015/12/4 15:35:14: Break: SendData Fail!
2015/12/4 15:53:18: 任务号:86,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:2; 列前后:3; 高度:1; 深度:0
2015/12/4 15:53:21: 任务号:86,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:2; 列前后:2; 高度:1; 深度:0
2015/12/4 15:53:22: 任务号:86,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/4 15:53:24: 任务号:86,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 15:53:25: 任务号:86,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 15:53:27: 任务号:86,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 15:53:28: 任务号:86,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/4 15:53:30: 任务号:86,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:2; 列:1; 列前后:1; 高度:1; 深度:2
2015/12/4 15:53:35: 任务号:86,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/4 15:53:37: 任务号:86,224; 低位指令代码:112; 高位指令代码:129; 函数模式:129; 堆垛机模式:129; 动作点:15; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 15:54:05: 任务号:86,224; 低位指令代码:112; 高位指令代码:128; 函数模式:128; 堆垛机模式:128; 动作点:15; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 15:57:31: Break: SendData Fail!
2015/12/4 16:15:19: 任务号:86,224; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:15; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 16:15:20: 任务号:86,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/4 16:15:24: 任务号:86,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:1; 列前后:1; 高度:2; 深度:0
2015/12/4 16:15:26: 任务号:86,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:1; 列前后:1; 高度:3; 深度:0
2015/12/4 16:15:28: 任务号:86,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:14; 行:0; 列:1; 列前后:1; 高度:4; 深度:0
