2015/12/27 15:03:23: Break:  连接失败！
2015/12/27 15:09:22: 任务号:95,55; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:09:26: 任务号:95,55; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/12/27 15:09:29: 任务号:95,55; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/27 15:09:32: 任务号:95,55; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:09:36: 任务号:95,55; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:09:39: 任务号:95,55; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/27 15:09:42: 任务号:95,55; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:1; 列:2; 列前后:1; 高度:1; 深度:1
2015/12/27 15:09:46: 任务号:95,55; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:1; 列:2; 列前后:1; 高度:1; 深度:2
2015/12/27 15:09:52: 任务号:95,55; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/27 15:10:26: 任务号:95,69; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:10:29: 任务号:95,69; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/27 15:10:32: 任务号:95,69; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/12/27 15:10:39: 任务号:95,69; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:10; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:10:42: 任务号:95,69; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/27 15:10:45: 任务号:95,69; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/27 15:10:49: 任务号:95,69; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:2; 列:2; 列前后:1; 高度:1; 深度:1
2015/12/27 15:10:52: 任务号:95,69; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:2; 列:2; 列前后:1; 高度:1; 深度:2
2015/12/27 15:10:56: 任务号:95,69; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:2; 列:2; 列前后:1; 高度:1; 深度:1
2015/12/27 15:10:59: 任务号:95,69; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/27 15:11:13: 任务号:95,83; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:9; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
