2015/12/30 9:33:28: Break:  连接失败！
2015/12/30 9:33:48: Break:  连接失败！
2015/12/30 9:45:03: 任务号:0,1; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/30 10:23:35: 任务号:0,1; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/30 14:41:33: 任务号:0,1; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/30 14:46:39: 任务号:108,37; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:12; 巷道:11; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/30 14:46:43: 任务号:108,37; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:12; 巷道:11; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/12/30 14:46:46: 任务号:108,37; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:12; 巷道:11; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/30 14:46:49: 任务号:108,37; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:12; 巷道:11; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/30 14:46:53: 任务号:108,37; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:11; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/30 14:46:56: 任务号:108,37; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:11; 行:0; 列:2; 列前后:2; 高度:2; 深度:0
2015/12/30 14:47:00: 任务号:108,37; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:11; 行:0; 列:4; 列前后:1; 高度:4; 深度:0
2015/12/30 14:47:03: 任务号:108,37; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:11; 行:0; 列:5; 列前后:3; 高度:5; 深度:0
2015/12/30 14:47:06: 任务号:108,37; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:11; 行:0; 列:6; 列前后:2; 高度:7; 深度:0
