2016/1/5 10:00:12: Break:  连接失败！
2016/1/5 10:00:32: Break:  连接失败！
2016/1/5 10:00:52: Break:  连接失败！
2016/1/5 10:01:12: Break:  连接失败！
2016/1/5 10:01:32: Break:  连接失败！
2016/1/5 10:01:52: Break:  连接失败！
2016/1/5 10:02:12: Break:  连接失败！
2016/1/5 10:02:32: Break:  连接失败！
2016/1/5 10:02:52: Break:  连接失败！
2016/1/5 10:03:12: Break:  连接失败！
2016/1/5 10:03:32: Break:  连接失败！
2016/1/5 10:03:52: Break:  连接失败！
2016/1/5 10:04:12: Break:  连接失败！
2016/1/5 10:04:32: Break:  连接失败！
2016/1/5 10:04:52: Break:  连接失败！
2016/1/5 10:05:12: Break:  连接失败！
2016/1/5 10:16:18: Break: 远程主机强迫关闭了一个现有的连接。
2016/1/5 11:03:17: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:03:21: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:03:35: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:03:38: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:05:13: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:05:23: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:06:25: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:06:28: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:06:42: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:06:49: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:08:37: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:08:47: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:09:01: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:09:05: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:09:18: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:09:22: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:09:35: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:09:39: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:09:52: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:09:56: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:10:10: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:10:13: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:10:26: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:10:30: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:10:44: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:10:47: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:11:02: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:11:05: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:11:32: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:12:28: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:12:32: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/5 11:14:50: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:0; 高度:0; 深度:83
2016/1/5 11:14:53: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
