2016/1/11 10:47:02: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 11:01:53: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 11:03:07: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:8; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/11 11:03:10: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/11 11:03:16: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 15:31:04: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 15:36:31: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 15:38:00: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 15:49:05: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:8; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/11 15:49:08: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/11 16:06:35: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 16:12:32: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:8; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/11 16:12:35: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/11 16:14:17: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 16:24:21: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 16:24:28: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:8; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/11 16:24:31: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/11 16:24:37: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 16:24:43: 任务号:0,1; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:8; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/11 16:24:47: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/11 16:24:53: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/11 16:27:55: 任务号:8,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
