2015/11/10 8:34:53: 自动发送任务成功,任务号:13553  起止:0020250141-->5145
2015/11/10 8:38:27: 自动发送任务成功,任务号:13557  起止:0020620021-->5145
2015/11/10 8:40:05: 自动发送任务成功,任务号:13558  起止:5211-->0010410201
2015/11/10 8:41:24: 自动发送任务成功,任务号:13564  起止:5211-->0020150161
2015/11/10 8:42:54: 自动发送任务成功,任务号:13577  起止:0010360031-->5145
2015/11/10 8:43:57: 自动发送任务成功,任务号:13579  起止:0010690011-->5145
2015/11/10 8:45:34: 自动发送任务成功,任务号:13589  起止:0020190141-->5145
2015/11/10 8:46:48: 自动发送任务成功,任务号:13593  起止:0010480101-->5145
2015/11/10 8:47:54: 自动发送任务成功,任务号:13596  起止:0020820031-->5145
2015/11/10 8:49:32: 自动发送任务成功,任务号:13603  起止:0010680011-->5145
2015/11/10 8:50:33: 自动发送任务成功,任务号:13623  起止:0020280131-->5145
2015/11/10 8:51:58: 自动发送任务成功,任务号:13571  起止:5211-->0010440201
2015/11/10 8:55:55: 自动发送任务成功,任务号:13634  起止:0020750021-->5145
2015/11/10 8:57:28: 自动发送任务成功,任务号:13638  起止:0020260141-->5145
2015/11/10 9:00:22: 自动发送任务成功,任务号:13643  起止:0010620041-->5145
2015/11/10 9:01:21: 自动发送任务成功,任务号:13645  起止:0010260141-->5145
2015/11/10 9:02:49: 自动发送任务成功,任务号:13649  起止:0020680101-->5145
2015/11/10 9:05:44: 自动发送任务成功,任务号:13670  起止:0010610071-->5145
2015/11/10 9:07:53: 自动发送任务成功,任务号:13675  起止:0020270091-->5145
2015/11/10 9:11:03: 自动发送任务成功,任务号:13684  起止:0020660101-->5145
2015/11/10 9:16:01: 自动发送任务成功,任务号:13825  起止:0010820081-->5145
2015/11/10 9:16:57: 自动发送任务成功,任务号:13841  起止:0010100181-->5145
2015/11/10 9:21:11: 自动发送任务成功,任务号:13965  起止:5211-->0020270091
2015/11/10 9:22:32: 自动发送任务成功,任务号:13972  起止:0020850091-->5145
2015/11/10 9:23:51: 自动发送任务成功,任务号:13975  起止:0020200141-->5145
2015/11/10 9:25:27: 自动发送任务成功,任务号:13978  起止:0010620061-->5145
2015/11/10 9:28:50: 自动发送任务成功,任务号:13989  起止:0020800071-->5145
2015/11/10 9:30:08: 自动发送任务成功,任务号:14005  起止:0010210091-->5145
2015/11/10 9:31:21: 自动发送任务成功,任务号:14006  起止:0010840091-->5145
2015/11/10 9:32:25: 自动发送任务成功,任务号:14011  起止:0020760091-->5145
2015/11/10 9:33:26: 自动发送任务成功,任务号:14021  起止:0010900011-->5145
2015/11/10 9:34:12: 自动发送任务成功,任务号:14017  起止:5211-->0010360031
2015/11/10 9:35:33: 自动发送任务成功,任务号:14025  起止:5211-->0020190141
2015/11/10 9:36:45: 自动发送任务成功,任务号:14075  起止:0020720101-->5145
2015/11/10 9:37:44: 自动发送任务成功,任务号:14036  起止:5211-->0020260141
2015/11/10 9:39:00: 自动发送任务成功,任务号:14134  起止:0010730061-->5145
2015/11/10 9:39:57: 自动发送任务成功,任务号:14071  起止:5211-->0020170161
2015/11/10 9:40:57: 自动发送任务成功,任务号:14173  起止:0010290051-->5145
2015/11/10 9:41:55: 自动发送任务成功,任务号:14117  起止:5211-->0010480101
2015/11/10 9:43:12: 自动发送任务成功,任务号:14200  起止:0020890021-->5145
2015/11/10 9:44:08: 自动发送任务成功,任务号:14177  起止:5211-->0010100181
2015/11/10 9:45:27: 自动发送任务成功,任务号:14272  起止:0010810051-->5145
2015/11/10 9:46:24: 自动发送任务成功,任务号:14222  起止:5211-->0020190161
2015/11/10 9:47:24: 自动发送任务成功,任务号:14277  起止:5211-->0020210161
2015/11/10 9:48:37: 自动发送任务成功,任务号:14372  起止:0020640011-->5145
2015/11/10 9:49:32: 自动发送任务成功,任务号:14338  起止:5211-->0010290051
2015/11/10 9:50:51: 自动发送任务成功,任务号:14404  起止:0010850081-->5145
2015/11/10 9:51:45: 自动发送任务成功,任务号:14371  起止:5211-->0010490201
2015/11/10 9:52:39: 自动发送任务成功,任务号:14425  起止:0020100061-->5145
2015/11/10 9:53:46: 自动发送任务成功,任务号:14397  起止:5211-->0020230161
2015/11/10 9:54:45: 自动发送任务成功,任务号:14508  起止:0020080101-->5145
2015/11/10 9:56:09: 自动发送任务成功,任务号:14453  起止:5211-->0010520201
2015/11/10 9:57:00: 自动发送任务成功,任务号:14501  起止:5211-->0010540201
2015/11/10 9:58:04: 自动发送任务成功,任务号:14577  起止:0010090021-->5145
2015/11/10 9:59:37: 自动发送任务成功,任务号:14558  起止:5211-->0010390021
2015/11/10 10:00:55: 自动发送任务成功,任务号:14635  起止:0010690041-->5145
2015/11/10 10:01:47: 自动发送任务成功,任务号:14576  起止:5211-->0020100061
2015/11/10 10:03:00: 自动发送任务成功,任务号:14662  起止:0020030161-->5145
2015/11/10 10:04:00: 自动发送任务成功,任务号:14634  起止:5211-->0010090021
2015/11/10 10:05:16: 自动发送任务成功,任务号:14733  起止:0010620051-->5145
2015/11/10 10:06:35: 自动发送任务成功,任务号:14681  起止:5211-->0020250161
2015/11/10 10:07:30: 自动发送任务成功,任务号:14736  起止:0010590191-->5145
2015/11/10 10:08:27: 自动发送任务成功,任务号:14735  起止:5211-->0020030161
2015/11/10 10:09:45: 自动发送任务成功,任务号:14791  起止:5211-->0020280161
2015/11/10 10:10:57: 自动发送任务成功,任务号:14826  起止:5211-->0020300161
2015/11/10 10:12:09: 自动发送任务成功,任务号:14855  起止:5211-->0010590191
2015/11/10 10:13:48: 自动发送任务成功,任务号:14909  起止:0020780071-->5145
2015/11/10 10:15:12: 自动发送任务成功,任务号:14878  起止:5211-->0010030211
